repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages,status,target_dir,note
samuelgursky/davinci-resolve-mcp,Python,45,13.0,2.0,421.0,Python: 414022; Shell: 101565; Batchfile: 25690; PowerShell: 16183,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/samuelgursky_davinci-resolve-mcp,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
sbomify/sbomify,Python,24,83.0,3.0,6882.0,Python: 919400; Vue: 120438; HTML: 112165; TypeScript: 37940; CSS: 10532; JavaScript: 4572; Dockerfile: 1441; Shell: 677,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sbomify_sbomify,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
sirkirby/unifi-network-rules,Python,21,42.0,1.0,305.0,Python: 474321,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sirkirby_unifi-network-rules,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
smartian1/tgtrader,Python,27,231.0,1.0,12606.0,Python: 659346; HTML: 294605; Jupyter Notebook: 21893,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/smartian1_tgtrader,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
smorin/py-launch-blueprint,Python,11,130.0,6.0,635.0,Python: 22846; Just: 4749; Makefile: 4132; PowerShell: 683,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/smorin_py-launch-blueprint,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
sshtunnelvision/MCP-LOGO-GEN,Python,159,15.0,1.0,59958.0,Python: 26462; Dockerfile: 161,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sshtunnelvision_MCP-LOGO-GEN,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
synaptiai/prompt-decorators,Python,14,122.0,2.0,9425.0,Python: 527011; Shell: 402,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/synaptiai_prompt-decorators,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
terryyin/lizard,Python,1938,1117.0,49.0,2881.0,Python: 530214; Less: 175512; HTML: 102979; JavaScript: 77780; PHP: 4914; CSS: 4084; XSLT: 2233; Makefile: 1026; Nix: 896; Shell: 504; C: 76,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/terryyin_lizard,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
tmux-python/tmuxp,Python,4177,4244.0,70.0,8245.0,Python: 302141; Makefile: 1869,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tmux-python_tmuxp,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
tony/django-docutils,Python,11,1427.0,4.0,2039.0,Python: 107865; Makefile: 1383; HTML: 353,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tony_django-docutils,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
tony/django-slugify-processor,Python,16,964.0,5.0,1960.0,Python: 8025; Makefile: 1437,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tony_django-slugify-processor,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
trycua/cua,Python,3101,154.0,8.0,4209.0,Python: 597006; Swift: 222822; Shell: 32179; Jupyter Notebook: 30618; Dockerfile: 1820,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/trycua_cua,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
tsukumijima/KonomiTV,Python,725,2994.0,18.0,161519.0,Python: 1295281; Vue: 769210; TypeScript: 686372; HTML: 7579; Dockerfile: 6249; SCSS: 2580; JavaScript: 83,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tsukumijima_KonomiTV,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
ttmouse/Wispr-Flow-CN,Python,19,68.0,1.0,3182.0,Python: 203934; Shell: 8496,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ttmouse_Wispr-Flow-CN,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
tw-haiven/haiven,Python,129,1331.0,10.0,43524.0,Python: 320430; JavaScript: 277810; CSS: 135713; Shell: 2565; HTML: 1992; Dockerfile: 1452,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tw-haiven_haiven,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
utensils/mcp-nixos,Python,28,163.0,1.0,898.0,Python: 744386; Nix: 26939; Shell: 169,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/utensils_mcp-nixos,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
vcs-python/vcspull,Python,207,2296.0,6.0,5726.0,Python: 86358; Makefile: 1559; Shell: 1347,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/vcs-python_vcspull,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
vietanhdev/anylabeling,Python,2594,235.0,8.0,11611.0,Python: 1955730; Shell: 739,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/vietanhdev_anylabeling,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
wandb/mcp-server,Python,17,11.0,1.0,45.0,Python: 55308,failed,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wandb_mcp-server,reused_status=failed;local_git_repo_not_found;git_clone_not_executed
wdm0006/elote,Python,24,77.0,4.0,8927.0,Python: 442959; Makefile: 3284,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_elote,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
wdm0006/git-pandas,Python,189,130.0,4.0,6650.0,Python: 203132; Makefile: 2862,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_git-pandas,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
wdm0006/pygeohash,Python,159,81.0,11.0,6309.0,Python: 91294; C: 10873; Makefile: 3444,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_pygeohash,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
whiteducksoftware/flock,Python,29,241.0,4.0,46725.0,Python: 523435,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/whiteducksoftware_flock,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
xzq-xu/jvm-mcp-server,Python,37,31.0,3.0,251.0,Python: 69805,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/xzq-xu_jvm-mcp-server,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
yagami1997/CursorMind,Python,127,31.0,1.0,373.0,Python: 124290; Shell: 17567,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/yagami1997_CursorMind,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
yagami1997/TradeMind,Python,78,255.0,2.0,2642.0,Python: 509280; JavaScript: 157653; Shell: 17636,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/yagami1997_TradeMind,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
yeagerai/genlayer-studio,Python,31,357.0,16.0,3845.0,Python: 521092; Vue: 186634; Solidity: 154122; TypeScript: 153491; JavaScript: 28075; CSS: 3092; Shell: 2476; Lua: 2112; HTML: 1350; Mako: 635; Dockerfile: 447,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/yeagerai_genlayer-studio,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
zauberzeug/nicegui,Python,11644,5924.0,151.0,63663.0,Python: 1124032; JavaScript: 81676; Shell: 8537; CSS: 6886; Dockerfile: 3867; Vue: 3227; HTML: 3035,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/zauberzeug_nicegui,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
zenbase-ai/py-priompt,Python,55,12.0,1.0,82.0,Python: 190347,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/zenbase-ai_py-priompt,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
zilliztech/mcp-server-milvus,Python,45,23.0,3.0,7382.0,Python: 24557,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/zilliztech_mcp-server-milvus,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
Dror-Bengal/CursorFocus,Python,73,18.0,2.0,69.0,Python: 101281; Shell: 4342,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Dror-Bengal_CursorFocus,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
The-Pocket-World/PocketManus,Python,152,382.0,44.0,18656.0,Python: 568817; Jupyter Notebook: 142650; Dockerfile: 305,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/The-Pocket-World_PocketManus,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
W1ndys/W1ndysBot,Python,24,65.0,1.0,4108.0,Python: 125508; Shell: 20367; Batchfile: 2209,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_W1ndysBot,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
loning/universe,Python,16,665.0,2.0,9115.0,Python: 35649,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/loning_universe,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
stampchain-io/btc_stamps,Python,17,2182.0,10.0,80826.0,Python: 1126403; Rust: 49705; Shell: 29706; Dockerfile: 3243; Makefile: 1803,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/stampchain-io_btc_stamps,reused_status=cloned;verified_existing_git_repo;git_clone_not_executed
