repo_name,driver_rows,source_group,driver_metrics,cause_categories,driver_abs_diff_sum,driver_abs_diff_max,cause_row_counts,tree_rows,max_tracked_files,max_python_files,max_notebook_files,max_js_ts_files,max_test_like_files,max_doc_example_files,max_generated_vendor_like_files,months_observed,commits_observed,tree_cause_categories,python_file_share,js_ts_file_share,test_like_file_share,doc_example_file_share,generated_vendor_file_share,top_directories,source_scope_hint_directories,existing_config_files,sonar_specific_config_present,python_lint_config_present,generic_repo_config_present,main_root_cause,root_cause_evidence,recommended_reconfiguration_step
daxa-ai/pebblo,3,control,technical_debt; code_smells; static_analysis_warnings,source_scope_difference_or_mixed,7994.0,5470.0,source_scope_difference_or_mixed:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
believethehype/nostrdvm,4,control,technical_debt; code_smells; static_analysis_warnings; bugs,source_scope_difference_or_mixed,7752.0,4268.0,source_scope_difference_or_mixed:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
namuan/trading-utils,7,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc,rule_config_analyzer_profile_signal; commit_selection_difference,7294.0,4220.0,commit_selection_difference:4; rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
Chocksy/qc-options-framework,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,6691.0,4271.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
utensils/mcp-nixos,6,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_difference_or_mixed; commit_selection_difference,6127.0,4636.0,source_scope_difference_or_mixed:5; commit_selection_difference:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
tmux-python/tmuxp,4,treatment,technical_debt; static_analysis_warnings; code_smells; bugs,rule_config_analyzer_profile_signal,5205.0,3751.0,rule_config_analyzer_profile_signal:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
ericmjl/llamabot,5,treatment,technical_debt; static_analysis_warnings; code_smells; vulnerabilities; ncloc,source_scope_difference_or_mixed,5024.0,2794.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
osomai/servicenow-mcp,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,4747.0,3340.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
tw-haiven/haiven,5,treatment,technical_debt; ncloc; code_smells; static_analysis_warnings,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal,4737.0,2739.0,source_scope_difference_or_mixed:4; rule_config_analyzer_profile_signal:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
allthingslinux/tux,5,treatment,ncloc; cognitive_complexity; technical_debt,commit_selection_difference; rule_config_analyzer_profile_signal; source_scope_difference_or_mixed,4478.0,3164.0,commit_selection_difference:3; rule_config_analyzer_profile_signal:1; source_scope_difference_or_mixed:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
DataScienceUIBK/Rankify,4,treatment,technical_debt; static_analysis_warnings; code_smells; vulnerabilities,commit_selection_difference,4249.0,2634.0,commit_selection_difference:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.
leettools-dev/leettools,3,treatment,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_signal,3972.0,2684.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
Hankanman/Area-Occupancy-Detection,6,treatment,technical_debt; ncloc; bugs; static_analysis_warnings; code_smells; cognitive_complexity,commit_selection_difference,3698.0,1152.0,commit_selection_difference:6,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.
Multi-V-VM/MVVM,7,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,commit_selection_difference; source_scope_difference_or_mixed,3610.0,1162.0,source_scope_difference_or_mixed:4; commit_selection_difference:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
NVIDIA/cuEquivariance,4,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal; source_scope_difference_or_mixed,3349.0,2623.0,rule_config_analyzer_profile_signal:3; source_scope_difference_or_mixed:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
pieces-app/cli-agent,5,control,technical_debt; ncloc; static_analysis_warnings; code_smells; cognitive_complexity,rule_config_analyzer_profile_signal; source_scope_difference_or_mixed,3256.0,1547.0,rule_config_analyzer_profile_signal:3; source_scope_difference_or_mixed:2,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
thegreenwebfoundation/admin-portal,6,control,technical_debt; code_smells; static_analysis_warnings; ncloc; vulnerabilities; bugs,source_scope_difference_or_mixed,2934.0,1399.0,source_scope_difference_or_mixed:6,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
qiboteam/qibojit,4,control,ncloc; technical_debt; code_smells; static_analysis_warnings,commit_selection_difference; rule_config_analyzer_profile_signal,2747.0,1388.0,rule_config_analyzer_profile_signal:3; commit_selection_difference:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
Jieqianyu/SGN,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,2688.0,1920.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
Kiln-AI/Kiln,6,treatment,technical_debt; bugs; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal; commit_selection_difference,2619.0,1405.0,rule_config_analyzer_profile_signal:4; commit_selection_difference:2,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
Aronnaxx/Behold-Urwar-Droid-Concepts,3,treatment,technical_debt; static_analysis_warnings; code_smells,source_scope_difference_or_mixed,2392.0,1668.0,source_scope_difference_or_mixed:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
DakeQQ/YOLO-Depth-Estimation-for-Android,3,control,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_signal,2224.0,1379.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
kuleshov-group/caduceus,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,2094.0,1460.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
weaviate/t2v-transformers-models,3,control,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_signal,2072.0,1791.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
OSU-NLP-Group/HippoRAG,4,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal; source_scope_difference_or_mixed,2063.0,1316.0,rule_config_analyzer_profile_signal:3; source_scope_difference_or_mixed:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
panther-labs/panther-analysis,3,treatment,static_analysis_warnings; code_smells; technical_debt,rule_config_analyzer_profile_signal,1996.0,699.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
MalevichAI/malevich,3,control,ncloc; technical_debt; cognitive_complexity,source_scope_difference_or_mixed,1798.0,1052.0,source_scope_difference_or_mixed:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
instructor-ai/instructor,6,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal; source_scope_difference_or_mixed; commit_selection_difference,1696.0,527.0,rule_config_analyzer_profile_signal:3; commit_selection_difference:2; source_scope_difference_or_mixed:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
synaptiai/prompt-decorators,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1651.0,1088.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
appl-team/appl,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1587.0,1113.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
zju3dv/ready_to_react,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1520.0,1084.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
wdm0006/pygeohash,4,treatment,technical_debt; static_analysis_warnings; code_smells; vulnerabilities,source_scope_difference_or_mixed,1470.0,612.0,source_scope_difference_or_mixed:4,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
bropines/chrome-lens-py,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1445.0,1015.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
daojiAnime/vmq-fastapi,3,treatment,technical_debt; ncloc; static_analysis_warnings,source_scope_difference_or_mixed,1407.0,1152.0,source_scope_difference_or_mixed:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
sirkirby/unifi-network-rules,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1383.0,995.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
baaivision/EVE,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1300.0,901.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
stakewise/v3-operator,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1267.0,793.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
The-Pocket/PocketFlow,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1241.0,860.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
zhang-xr/FirmLLM,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1134.0,788.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
markmelnic/stealthenium,3,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1122.0,852.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
ITSpecialist111/ai_automation_suggester,3,control,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_signal,1103.0,787.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
smartian1/tgtrader,3,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_signal,1030.0,774.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
grapeot/web_agentic_ai,3,treatment,technical_debt; static_analysis_warnings; code_smells,source_scope_difference_or_mixed,1012.0,712.0,source_scope_difference_or_mixed:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
ericyuegu/hal,3,treatment,technical_debt; code_smells; static_analysis_warnings,commit_selection_difference,993.0,708.0,commit_selection_difference:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.
ericmjl/pyds-cli,2,treatment,ncloc; technical_debt,source_scope_difference_or_mixed,960.0,750.0,source_scope_difference_or_mixed:2,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
VRSEN/agency-swarm,3,treatment,technical_debt; ncloc,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal; commit_selection_difference,922.0,506.0,commit_selection_difference:1; rule_config_analyzer_profile_signal:1; source_scope_difference_or_mixed:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
tony/django-docutils,3,treatment,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_signal,882.0,626.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
vcs-python/vcspull,3,treatment,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_signal,827.0,581.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
FolhaSP/mosaico,3,control,technical_debt; static_analysis_warnings; bugs,rule_config_analyzer_profile_signal,754.0,280.0,rule_config_analyzer_profile_signal:3,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options."
