repo_name,source_group,analysis_rows,sum_abs_diff_bugs,median_abs_diff_bugs,max_abs_diff_bugs,sum_diff_bugs,sum_abs_diff_vulnerabilities,median_abs_diff_vulnerabilities,max_abs_diff_vulnerabilities,sum_diff_vulnerabilities,sum_abs_diff_code_smells,median_abs_diff_code_smells,max_abs_diff_code_smells,sum_diff_code_smells,sum_abs_diff_technical_debt,median_abs_diff_technical_debt,max_abs_diff_technical_debt,sum_diff_technical_debt,sum_abs_diff_static_analysis_warnings,median_abs_diff_static_analysis_warnings,max_abs_diff_static_analysis_warnings,sum_diff_static_analysis_warnings
qiboteam/qibojit,control,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,15.0,15.0,-203.0,953.0,71.0,71.0,-953.0,203.0,15.0,15.0,-203.0
The-Pocket/PocketFlow,treatment,8,5.0,1.0,1.0,5.0,26.0,3.5,5.0,26.0,179.0,25.5,35.0,129.0,860.0,125.0,165.0,610.0,202.0,30.0,41.0,160.0
NVIDIA/cuEquivariance,control,9,25.0,1.0,5.0,-25.0,0.0,0.0,0.0,0.0,175.0,14.0,52.0,-165.0,2623.0,331.0,468.0,-2623.0,198.0,15.0,57.0,-190.0
Event-AHU/OpenEvDET,control,6,36.0,6.0,8.0,36.0,36.0,6.0,8.0,36.0,111.0,18.5,25.0,111.0,555.0,92.5,125.0,555.0,183.0,30.5,41.0,183.0
zhang-xr/FirmLLM,control,3,17.0,5.0,7.0,17.0,3.0,1.0,1.0,3.0,163.0,65.0,65.0,163.0,788.0,316.0,316.0,788.0,183.0,71.0,71.0,183.0
instructor-ai/instructor,treatment,18,97.0,2.5,39.0,-91.0,0.0,0.0,0.0,0.0,143.0,5.5,27.0,9.0,527.0,18.5,111.0,209.0,164.0,9.0,22.0,-82.0
ITSpecialist111/ai_automation_suggester,control,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,26.0,26.0,158.0,787.0,130.0,130.0,787.0,158.0,26.0,26.0,158.0
aj47/100x-orchestrator,control,4,0.0,0.0,0.0,0.0,31.0,9.0,9.0,31.0,125.0,30.0,37.0,125.0,460.0,99.0,167.0,460.0,156.0,39.0,41.0,156.0
lss233/kirara-ai,treatment,7,55.0,9.0,14.0,55.0,4.0,1.0,1.0,4.0,84.0,16.0,20.0,84.0,374.0,74.0,83.0,374.0,143.0,29.0,31.0,143.0
weaviate/t2v-transformers-models,control,13,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,144.0,10.0,17.0,-144.0,1791.0,133.0,211.0,-1791.0,137.0,9.0,16.0,-137.0
markmelnic/stealthenium,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,45.0,45.0,135.0,852.0,284.0,284.0,852.0,135.0,45.0,45.0,135.0
smartian1/tgtrader,treatment,5,4.0,1.0,1.0,4.0,8.0,2.0,2.0,8.0,122.0,21.0,41.0,122.0,774.0,146.0,246.0,774.0,134.0,24.0,44.0,134.0
tony/django-docutils,treatment,20,0.0,0.0,0.0,0.0,20.0,1.0,1.0,-20.0,130.0,10.5,11.0,130.0,626.0,46.5,47.0,498.0,126.0,9.5,10.0,110.0
vcs-python/vcspull,treatment,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,7.0,8.0,43.0,581.0,21.5,41.0,-75.0,123.0,7.0,8.0,43.0
wdm0006/elote,treatment,3,11.0,4.0,4.0,-11.0,0.0,0.0,0.0,0.0,112.0,41.0,41.0,-112.0,340.0,125.0,125.0,-340.0,123.0,45.0,45.0,-123.0
golemfoundation/octant,control,1,6.0,6.0,6.0,-6.0,6.0,6.0,6.0,6.0,121.0,121.0,121.0,121.0,383.0,383.0,383.0,383.0,121.0,121.0,121.0,121.0
xinsir6/ControlNetPlus,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,40.0,40.0,120.0,600.0,200.0,200.0,600.0,120.0,40.0,40.0,120.0
SlyyCooper/cursorrules-architect,treatment,6,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,115.0,14.0,31.0,115.0,561.0,70.0,146.0,561.0,119.0,14.0,33.0,119.0
VRSEN/agency-swarm,treatment,15,0.0,0.0,0.0,0.0,30.0,2.0,2.0,30.0,91.0,3.0,13.0,69.0,287.0,6.0,51.0,257.0,117.0,5.0,15.0,99.0
dromara/domain-admin,control,18,18.0,1.0,1.0,-18.0,124.0,3.0,17.0,124.0,66.0,3.0,8.0,-62.0,309.0,16.0,41.0,-307.0,108.0,3.5,18.0,44.0
ilanbenb/wa_llm,treatment,8,14.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,94.0,5.5,25.0,92.0,440.0,22.5,120.0,420.0,106.0,7.5,27.0,106.0
AkariAsai/ScholarQABench,control,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,21.0,21.0,104.0,495.0,100.0,100.0,495.0,104.0,21.0,21.0,104.0
jfcrenshaw/pzflow,control,4,8.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,112.0,28.0,28.0,-112.0,392.0,98.0,98.0,-392.0,104.0,26.0,26.0,-104.0
zilliztech/mcp-server-milvus,treatment,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,21.0,21.0,83.0,415.0,105.0,105.0,415.0,83.0,21.0,21.0,83.0
allthingslinux/tux,treatment,12,2.0,0.0,1.0,2.0,31.0,3.0,4.0,31.0,45.0,3.5,7.0,45.0,300.0,27.5,80.0,300.0,78.0,7.0,10.0,78.0
askjohngeorge/pipecat-lead-qualifier,treatment,2,8.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,65.0,32.5,44.0,65.0,328.0,164.0,219.0,328.0,73.0,36.5,49.0,73.0
nextml-code/pytorch-datastream,treatment,3,3.0,1.0,1.0,-3.0,0.0,0.0,0.0,0.0,66.0,22.0,22.0,-66.0,333.0,111.0,111.0,-333.0,69.0,23.0,23.0,-69.0
EURAC-EEBgroup/brick-llm,control,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,11.0,12.0,67.0,335.0,55.0,60.0,335.0,67.0,11.0,12.0,67.0
cgevans/qslib,treatment,8,48.0,6.0,6.0,-48.0,0.0,0.0,0.0,0.0,113.0,14.0,15.0,113.0,726.0,92.0,92.0,726.0,65.0,8.0,9.0,65.0
gerred/mcp-server-replicate,treatment,2,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,62.0,31.0,31.0,62.0,320.0,160.0,160.0,320.0,64.0,32.0,32.0,64.0
c4fun/tell-stories-webui,treatment,2,16.0,8.0,8.0,16.0,0.0,0.0,0.0,0.0,46.0,23.0,23.0,46.0,230.0,115.0,115.0,230.0,62.0,31.0,31.0,62.0
MDGrey33/pyvisionai,treatment,6,5.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,66.0,3.5,33.0,66.0,328.0,18.5,163.0,328.0,61.0,2.0,33.0,61.0
airweave-ai/airweave,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,61.0,61.0,229.0,229.0,229.0,229.0,61.0,61.0,61.0,61.0
plurai-ai/intellagent,control,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.5,13.0,60.0,247.0,47.0,49.0,247.0,60.0,11.5,13.0,60.0
NiceRingNode/LGGPT,control,4,0.0,0.0,0.0,0.0,16.0,4.0,4.0,16.0,40.0,10.0,10.0,40.0,184.0,46.0,46.0,184.0,56.0,14.0,14.0,56.0
tw-haiven/haiven,treatment,2,9.0,4.5,5.0,-9.0,2.0,1.0,1.0,2.0,62.0,31.0,45.0,62.0,353.0,176.5,253.0,353.0,55.0,27.5,41.0,55.0
wdm0006/git-pandas,treatment,6,22.0,3.0,10.0,-22.0,4.0,0.0,3.0,4.0,38.0,3.0,15.0,-6.0,190.0,18.0,74.0,-22.0,52.0,6.5,20.0,-24.0
bobokun/actualtap-py,control,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,4.0,52.0,230.0,20.0,20.0,230.0,52.0,4.0,4.0,52.0
jinli99/iShapEditing,control,3,0.0,0.0,0.0,0.0,13.0,5.0,5.0,13.0,38.0,12.0,14.0,38.0,172.0,51.0,70.0,172.0,51.0,17.0,17.0,51.0
whiteducksoftware/flock,treatment,2,6.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,45.0,22.5,26.0,45.0,270.0,135.0,150.0,270.0,51.0,25.5,28.0,51.0
infected4098/Wave-U-Mamba,control,7,0.0,0.0,0.0,0.0,21.0,3.0,3.0,21.0,28.0,4.0,4.0,28.0,119.0,17.0,17.0,119.0,49.0,7.0,7.0,49.0
aws-samples/aws-dms-cdc-data-pipeline,control,7,0.0,0.0,0.0,0.0,42.0,6.0,6.0,42.0,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,49.0,7.0,7.0,49.0
ezyang/codemcp,treatment,4,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,45.0,11.0,15.0,45.0,205.0,50.0,71.0,205.0,48.0,11.5,16.0,48.0
RobinWu218/ToST,control,1,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,37.0,37.0,37.0,37.0,163.0,163.0,163.0,163.0,47.0,47.0,47.0,47.0
martinnormark/neural-mesh-simplification,treatment,5,5.0,1.0,1.0,-5.0,11.0,3.0,3.0,11.0,52.0,12.0,12.0,-52.0,185.0,45.0,45.0,-185.0,46.0,10.0,10.0,-46.0
caffeinedoom/reconthing,control,1,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,41.0,41.0,41.0,41.0,205.0,205.0,205.0,205.0,45.0,45.0,45.0,45.0
cohnen/mcp-google-ads,treatment,3,36.0,12.0,12.0,36.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,9.0,31.0,8.0,18.0,31.0,45.0,15.0,17.0,45.0
discus0434/nook,treatment,2,20.0,10.0,10.0,20.0,16.0,8.0,8.0,16.0,7.0,3.5,7.0,7.0,145.0,72.5,90.0,145.0,43.0,21.5,25.0,43.0
FaceAdapter/Face-Adapter,control,1,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,27.0,27.0,27.0,27.0,129.0,129.0,129.0,129.0,41.0,41.0,41.0,41.0
Drchip61/Dual_SAM,control,3,24.0,8.0,8.0,-24.0,3.0,1.0,1.0,3.0,18.0,6.0,6.0,-18.0,45.0,15.0,15.0,-45.0,39.0,13.0,13.0,-39.0
xzq-xu/jvm-mcp-server,treatment,3,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,40.0,17.0,17.0,40.0,145.0,70.0,70.0,145.0,39.0,17.0,17.0,39.0
vortezwohl/Bhakti,control,4,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,35.0,8.0,11.0,35.0,163.0,40.0,43.0,163.0,39.0,8.0,15.0,39.0
yeagerai/genlayer-studio,treatment,4,22.0,6.0,10.0,-16.0,12.0,3.0,4.0,12.0,50.0,13.0,19.0,30.0,650.0,149.5,329.0,582.0,38.0,9.5,13.0,26.0
djeada/Kurs-Podstaw-Pythona,control,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,3.0,36.0,180.0,15.0,15.0,180.0,36.0,3.0,3.0,36.0
