repo_name,source_group,driver_metrics,main_root_cause,root_cause_evidence,recommended_reconfiguration_step,max_tracked_files,max_python_files,max_js_ts_files,max_test_like_files,max_doc_example_files,max_generated_vendor_like_files,top_directories,source_scope_hint_directories,existing_config_files,sonar_specific_config_present,driver_abs_diff_sum,cause_row_counts
pieces-app/cli-agent,control,technical_debt; ncloc; static_analysis_warnings; code_smells; cognitive_complexity,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,3256.0,rule_config_analyzer_profile_signal:3; source_scope_difference_or_mixed:2
thegreenwebfoundation/admin-portal,control,technical_debt; code_smells; static_analysis_warnings; ncloc; vulnerabilities; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,2934.0,source_scope_difference_or_mixed:6
qiboteam/qibojit,control,ncloc; technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,2747.0,rule_config_analyzer_profile_signal:3; commit_selection_difference:1
Jieqianyu/SGN,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,2688.0,rule_config_analyzer_profile_signal:3
Kiln-AI/Kiln,treatment,technical_debt; bugs; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,2619.0,rule_config_analyzer_profile_signal:4; commit_selection_difference:2
Aronnaxx/Behold-Urwar-Droid-Concepts,treatment,technical_debt; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,2392.0,source_scope_difference_or_mixed:3
DakeQQ/YOLO-Depth-Estimation-for-Android,control,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,2224.0,rule_config_analyzer_profile_signal:3
kuleshov-group/caduceus,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,2094.0,rule_config_analyzer_profile_signal:3
weaviate/t2v-transformers-models,control,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,2072.0,rule_config_analyzer_profile_signal:3
OSU-NLP-Group/HippoRAG,control,technical_debt; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,2063.0,rule_config_analyzer_profile_signal:3; source_scope_difference_or_mixed:1
panther-labs/panther-analysis,treatment,static_analysis_warnings; code_smells; technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1996.0,rule_config_analyzer_profile_signal:3
MalevichAI/malevich,control,ncloc; technical_debt; cognitive_complexity,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,1798.0,source_scope_difference_or_mixed:3
instructor-ai/instructor,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,1696.0,rule_config_analyzer_profile_signal:3; commit_selection_difference:2; source_scope_difference_or_mixed:1
synaptiai/prompt-decorators,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1651.0,rule_config_analyzer_profile_signal:3
appl-team/appl,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1587.0,rule_config_analyzer_profile_signal:3
zju3dv/ready_to_react,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1520.0,rule_config_analyzer_profile_signal:3
wdm0006/pygeohash,treatment,technical_debt; static_analysis_warnings; code_smells; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,1470.0,source_scope_difference_or_mixed:4
bropines/chrome-lens-py,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1445.0,rule_config_analyzer_profile_signal:3
daojiAnime/vmq-fastapi,treatment,technical_debt; ncloc; static_analysis_warnings,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,1407.0,source_scope_difference_or_mixed:3
sirkirby/unifi-network-rules,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1383.0,rule_config_analyzer_profile_signal:3
baaivision/EVE,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1300.0,rule_config_analyzer_profile_signal:3
stakewise/v3-operator,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1267.0,rule_config_analyzer_profile_signal:3
The-Pocket/PocketFlow,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1241.0,rule_config_analyzer_profile_signal:3
zhang-xr/FirmLLM,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1134.0,rule_config_analyzer_profile_signal:3
markmelnic/stealthenium,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1122.0,rule_config_analyzer_profile_signal:3
ITSpecialist111/ai_automation_suggester,control,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1103.0,rule_config_analyzer_profile_signal:3
smartian1/tgtrader,treatment,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,1030.0,rule_config_analyzer_profile_signal:3
grapeot/web_agentic_ai,treatment,technical_debt; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,1012.0,source_scope_difference_or_mixed:3
ericyuegu/hal,treatment,technical_debt; code_smells; static_analysis_warnings,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.,0,0,0,0,0,0,,,,False,993.0,commit_selection_difference:3
ericmjl/pyds-cli,treatment,ncloc; technical_debt,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,960.0,source_scope_difference_or_mixed:2
VRSEN/agency-swarm,treatment,technical_debt; ncloc,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,922.0,commit_selection_difference:1; rule_config_analyzer_profile_signal:1; source_scope_difference_or_mixed:1
tony/django-docutils,treatment,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,882.0,rule_config_analyzer_profile_signal:3
vcs-python/vcspull,treatment,technical_debt; code_smells; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,827.0,rule_config_analyzer_profile_signal:3
FolhaSP/mosaico,control,technical_debt; static_analysis_warnings; bugs,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,754.0,rule_config_analyzer_profile_signal:3
aj47/100x-orchestrator,control,technical_debt; static_analysis_warnings; code_smells,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,741.0,rule_config_analyzer_profile_signal:3
Event-AHU/OpenEvDET,control,technical_debt; static_analysis_warnings,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,738.0,rule_config_analyzer_profile_signal:2
lss233/kirara-ai,treatment,technical_debt; static_analysis_warnings,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,652.0,rule_config_analyzer_profile_signal:2; source_scope_difference_or_mixed:1
yagami1997/TradeMind,treatment,technical_debt; static_analysis_warnings; code_smells,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.,0,0,0,0,0,0,,,,False,642.0,commit_selection_difference:3
xinsir6/ControlNetPlus,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,600.0,rule_config_analyzer_profile_signal:1
SlyyCooper/cursorrules-architect,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,561.0,rule_config_analyzer_profile_signal:1
AkariAsai/ScholarQABench,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,495.0,rule_config_analyzer_profile_signal:1
ilanbenb/wa_llm,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,440.0,rule_config_analyzer_profile_signal:1
dromara/domain-admin,control,technical_debt; vulnerabilities,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,433.0,rule_config_analyzer_profile_signal:2
zilliztech/mcp-server-milvus,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,415.0,rule_config_analyzer_profile_signal:1
jfcrenshaw/pzflow,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,392.0,rule_config_analyzer_profile_signal:1
Benzauber/convert-commander,control,technical_debt,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,351.0,source_scope_difference_or_mixed:1
EURAC-EEBgroup/brick-llm,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,335.0,rule_config_analyzer_profile_signal:1
nextml-code/pytorch-datastream,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,333.0,rule_config_analyzer_profile_signal:1
MDGrey33/pyvisionai,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,328.0,rule_config_analyzer_profile_signal:1
askjohngeorge/pipecat-lead-qualifier,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,328.0,rule_config_analyzer_profile_signal:1
gerred/mcp-server-replicate,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,320.0,rule_config_analyzer_profile_signal:1
plurai-ai/intellagent,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,247.0,rule_config_analyzer_profile_signal:1
taylorwilsdon/open-webui-tools,control,ncloc,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,231.0,source_scope_difference_or_mixed:1
bobokun/actualtap-py,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,230.0,rule_config_analyzer_profile_signal:1
c4fun/tell-stories-webui,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,230.0,rule_config_analyzer_profile_signal:1
aws/nova-act,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,212.0,rule_config_analyzer_profile_signal:1
caffeinedoom/reconthing,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,205.0,rule_config_analyzer_profile_signal:1
ezyang/codemcp,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,205.0,rule_config_analyzer_profile_signal:1
C4NU/Paddie,control,ncloc,commit_selection_difference,Paper and pyv2 selected different commits for at least some repo-month rows.,Use paper latest_commit values for a targeted rescan before changing SonarQube rules.,0,0,0,0,0,0,,,,False,192.0,commit_selection_difference:1
wdm0006/git-pandas,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,190.0,rule_config_analyzer_profile_signal:1
martinnormark/neural-mesh-simplification,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,185.0,rule_config_analyzer_profile_signal:1
NiceRingNode/LGGPT,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,184.0,rule_config_analyzer_profile_signal:1
PiotrMachowski/Home-Assistant-custom-components-TGE,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,180.0,rule_config_analyzer_profile_signal:1
djeada/Kurs-Podstaw-Pythona,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,180.0,rule_config_analyzer_profile_signal:1
jinli99/iShapEditing,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,172.0,rule_config_analyzer_profile_signal:1
RobinWu218/ToST,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,163.0,rule_config_analyzer_profile_signal:1
vortezwohl/Bhakti,control,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,163.0,rule_config_analyzer_profile_signal:1
W1ndys/Blog,treatment,technical_debt,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,153.0,source_scope_difference_or_mixed:1
discus0434/nook,treatment,technical_debt,rule_config_analyzer_profile_difference,"Warning metrics differ under controlled rows or no repo-level SonarQube config is present; rule set, quality profile, analyzer/plugin version, or scanner options are likely involved.","Run paper-like scanner configuration first, then compare SonarQube server/analyzer version, quality profile, active rules, and Python analyzer options.",0,0,0,0,0,0,,,,False,145.0,rule_config_analyzer_profile_signal:1
